episode,reward,epsilon,buffer_size,steps,score,avg_loss
122,73.89110573916801,0.35411764705882354,43831,1968,130,0.24856462100209656
123,-54.870393562362345,0.34882352941176464,45430,1600,0,0.26956990173086526
124,37.669331513422165,0.34352941176470586,49986,4557,103,0.2632351147605366
125,-53.79576335111135,0.3382352941176471,51174,1189,0,0.29177532406203976
126,-52.643131645175714,0.3329411764705882,51968,795,0,0.2590033212985525
127,82.37697064368493,0.3276470588235294,54316,2349,139,0.2660966818216947
128,-51.236008819962244,0.3223529411764706,54868,553,0,0.2918943974621378
129,192.65903923277287,0.3170588235294117,57768,2901,251,0.2966709569648936
130,493.91028871978045,0.31176470588235294,64708,6941,565,0.27880690251007373
131,46.62910310267803,0.30647058823529405,66552,1845,103,0.26517858461288984
132,47.59091413849895,0.30117647058823527,70482,3931,112,0.27729380774821955
133,493.7365386779929,0.2958823529411765,78941,8460,571,0.249058236368661
134,729.6636652720764,0.2905882352941176,87424,8484,807,0.22333317483810006
135,43.859117513903016,0.2852941176470588,90188,2765,103,0.20795660730594212
136,-51.42878437733113,0.2799999999999999,90654,467,0,0.20331825278619112
137,46.40567930589747,0.27470588235294124,92684,2031,103,0.20193407289119158
138,95.05964167495966,0.26941176470588235,93455,772,148,0.2684310567662275
139,-52.294192562660115,0.26411764705882346,94172,718,0,0.20343421082426277
140,-51.36257539431243,0.2588235294117647,94633,462,0,0.15148549580379672
141,-52.67104541701273,0.2535294117647059,95410,778,0,0.18005148885464392
142,-55.26882652723413,0.2482352941176471,96974,1565,0,0.20855129850775841
143,53.488883478367086,0.2429411764705881,101642,4669,118,0.204126613914301
144,745.3280724568552,0.23764705882352943,113191,11550,831,0.16495098688789384
145,588.9817162868293,0.23235294117647054,120161,6971,659,0.14999448144445074
146,44.50292683921346,0.22705882352941176,123266,3106,103,0.13929497731667126
147,51.362963527728915,0.22176470588235286,125005,1740,106,0.1422698931126245
148,1464.4455876726865,0.21647058823529397,141595,16591,1562,0.1465630688407715
149,1660.771420711403,0.2111764705882353,161593,20000,1740,0.1335041266989778
150,1875.3408527829831,0.20588235294117652,181591,20000,1945,0.12338038765233637
